"","day","temp","dewp","wdsp","NUM_COLLISIONS"
"136",4,52.4,47.5,6.1,0.797687861271676
"137",5,42.8,29.9,7.7,0.73121387283237
"138",6,40.4,25,5.3,0.725433526011561
"139",7,41.9,29.5,5.8,0.867052023121387
"140",2,43.6,27.9,4.7,0.491329479768786
"141",1,43.2,31,5.5,0.213872832369942
"142",3,43,34.8,6.3,0.615606936416185
"143",4,44.4,32.8,3.6,0.864161849710983
"144",5,46.5,32.7,4.2,0.916184971098266
"145",6,47.3,36.2,3.4,0.0346820809248555
"146",7,48.3,40.8,3.4,0.315028901734104
"147",2,44.1,27.7,7.6,0.248554913294798
"148",1,36.6,17.2,7.1,0.124277456647399
"149",3,40.3,19.7,4.9,0.552023121387283
"150",4,38.7,27.2,4.4,0.609826589595376
"151",5,37.5,28.8,7.1,0.404624277456647
"152",6,37.5,21.9,5.8,0.413294797687861
"153",7,41.3,25.8,4.7,0.589595375722543
"154",2,38.5,32.1,9.2,0.312138728323699
"155",1,44.3,41,3,0.239884393063584
"156",3,53.5,45.3,3.9,0.719653179190751
"157",4,51.9,47.1,2.9,0.719653179190751
"158",5,52.6,41.5,6.3,0.410404624277457
"159",6,35,16.8,3.6,0.716763005780347
"160",7,38.8,30.9,1.9,0.988439306358382
"161",2,47.3,46,3.5,0.601156069364162
"162",1,46.2,41.7,5.4,0.497109826589595
"163",3,50.3,49.5,5.7,0.713872832369942
"164",4,50.1,43.2,6,0.595375722543353
"165",5,40.1,23.6,3.3,0.514450867052023
"166",6,40.3,24.6,1.7,0.5
"167",7,41.4,23.2,4.1,0.797687861271676
"168",2,42.6,27.1,2.8,0.436416184971098
"169",1,44.5,37.8,6.5,0.369942196531792
"170",3,42,40.4,9.5,0.800578034682081
"171",4,47.3,44.5,7,0.789017341040462
"172",5,44,30.5,9.3,0.630057803468208
"173",6,39.8,29,8.5,0.676300578034682
"175",2,37.4,25,10.6,0.491329479768786
"176",1,37.8,20.5,7.6,0.104046242774566
"177",3,37,19.8,3,0.421965317919075
"179",5,32.2,25.3,9.5,0.459537572254335
"180",6,39.1,37.1,12.4,0.442196531791907
"181",7,33,22.4,10,0.534682080924855
"182",2,32.5,26.2,5.3,0.202312138728324
"183",1,32.4,21.1,11.9,0.11271676300578
"184",3,31.5,17.2,6.8,0.317919075144509
"185",4,38,25.6,15,0.0237388724035608
"186",5,27.5,12.1,12.4,0.317507418397626
"187",6,21.8,7.8,9.8,0.522255192878338
"188",7,32.2,21.1,11.3,0.391691394658754
"189",2,37.3,24.5,13.2,0.0474777448071217
"190",1,35.7,31.3,5.9,0.0593471810089021
"191",3,35.9,31,8.5,0.439169139465875
"192",4,39.8,34.1,10.4,0.415430267062315
"193",5,39.9,37.6,5.3,0.338278931750742
"194",6,43.5,30.4,14.7,0.540059347181009
"195",7,38,31.4,5.4,0.851632047477745
"196",2,42.7,41.5,7.9,0.302670623145401
"197",1,45.4,44.9,5.8,0
"198",3,47.2,47.1,8.2,0.501483679525223
"199",4,42.3,38.3,8,0.42433234421365
"200",5,41.6,40,8.8,0.608308605341246
"201",6,39.4,34.6,8.6,0.350148367952522
"202",7,28.1,16.6,15,0.55786350148368
"203",2,35.9,26.6,15.3,0.329376854599407
"204",1,46.3,41.2,14.9,0.0593471810089021
"206",4,26.3,18.1,10.8,0.507418397626113
"207",5,16.2,-1.1,15.6,0.510385756676558
"208",6,14.3,-1.9,15.5,0.537091988130564
"209",7,19,3.3,13.6,0.893175074183976
"210",2,24.4,16.6,10.5,0.548961424332344
"211",1,21.7,4.7,16.3,0.166172106824926
"212",3,27.3,10.8,7.4,0.397626112759644
"213",4,35.4,34.9,4.9,0.501483679525223
"214",5,45.1,44,12.4,0.367952522255193
"215",6,46.5,40.3,23.1,0.649851632047478
"216",7,33.1,15.5,18.2,0.596439169139466
"217",2,27.6,10.4,12.5,0.477744807121662
"218",1,30.7,24.5,9.8,0.213649851632047
"219",3,29,16.9,15.5,0.534124629080119
"220",4,28.7,16.6,8.2,0.572700296735905
"221",5,34.8,30.4,6.1,0.572700296735905
"222",6,29.4,13.4,10.2,0.454005934718101
"223",7,34.3,28.5,16.3,0.979228486646884
"224",2,29.2,25.8,35.3,0.0890207715133531
