"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"49",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,69.8,63.7,4.1,0.485549132947977
"50",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,68.7,55,1.3,0.274566473988439
"51",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.4,56.7,0.8,0.291907514450867
"52",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,72.8,57.2,2.5,0.317919075144509
"53",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.8,60.3,1.7,0.38150289017341
"54",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74.7,61.7,2,0.583815028901734
"55",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.3,60.9,2,0.661849710982659
"56",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.7,65.2,3.2,0.294797687861272
"57",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,73.9,62.4,4.6,0.286127167630058
"58",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.9,66.3,2.7,0.508670520231214
"59",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,77.9,67.4,6,0.621387283236994
"60",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.3,53.2,4.7,0.514450867052023
"61",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,72,49.4,2.5,0.710982658959538
"62",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,78.7,56.1,3.9,0.950867052023121
"63",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,81.6,61.3,4.7,0.413294797687861
"64",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,75.4,65.9,3.2,0.141618497109827
"65",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,73.8,65.1,4.5,0.00289017341040462
"66",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,72.6,68.4,4.7,0.676300578034682
"67",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,75.2,71.5,5.4,0.661849710982659
"68",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,73.2,65.3,2.3,0.578034682080925
"69",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,77,67.8,2.7,0.890173410404624
"70",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,75.3,69.6,5.8,0.653179190751445
"71",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,68.4,57.3,3,0.265895953757225
"72",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,65.4,49.1,5.7,0.765895953757225
"73",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,62.8,41.8,3.1,0.430635838150289
"74",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,68.5,49.7,2.1,0.80635838150289
"75",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,70.4,54.8,3.2,0.751445086705202
"76",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,70.5,57.7,2.3,0.684971098265896
"77",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,67.2,54.1,5.1,0.534682080924855
"78",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,65.1,46.5,1.9,0.248554913294798
"79",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,66.5,48,2.2,0.23121387283237
"80",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,70.6,64.8,5.5,0.531791907514451
"81",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,66.7,56.1,6.3,0.69364161849711
"82",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,61,48.3,4.6,0.433526011560694
"83",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,64.7,53.7,4.7,0.815028901734104
"84",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,66.3,60.6,5.6,0.505780346820809
"85",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,63.8,50.3,6.4,0.312138728323699
"86",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,59,40.4,3.3,0.549132947976879
"87",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,62,43.4,4.9,0.641618497109827
"88",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,67.7,56.8,4.3,0.092485549132948
"89",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,69,60.4,1.8,0.716763005780347
"90",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,65.2,61.8,5.1,0.956647398843931
"91",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,62.4,58.8,3.9,0.326589595375723
"92",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,60.5,52.5,3.9,0.222543352601156
"93",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,60.6,46.8,4.7,0.528901734104046
"94",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,63.7,54.2,2.4,0.638728323699422
